COM_CODE3,Company HMRC Ref,Month
731589000,9,2016-01-01
844130000,3,2016-01-01
854140100,47,2016-01-01
846711100,17,2016-01-01
970200000,77,2016-01-01
830210000,53,2016-01-01
70890000,5,2016-01-01
71310900,7,2016-01-01
71333900,2,2016-01-01
680690000,19,2016-01-01
760720100,9,2016-01-01
852550000,81,2016-01-01
903180980,138,2016-01-01
848110990,66,2016-01-01
800700800,15,2016-01-01
901090000,7,2016-01-01
730411000,35,2016-01-01
730640800,7,2016-01-01
841480110,28,2016-01-01
841790000,25,2016-01-01
871610920,18,2016-01-01
390110100,16,2016-01-01
842129000,106,2016-01-01
902780910,26,2016-01-01
390319000,8,2016-01-01
380991000,15,2016-01-01
590310900,15,2016-01-01
590320900,15,2016-01-01
960810920,4,2016-01-01
960810990,11,2016-01-01
960830000,9,2016-01-01
871639800,17,2016-01-01
520949000,7,2016-01-01
540769900,9,2016-01-01
630229900,4,2016-01-01
420212500,12,2016-01-01
380899900,23,2016-01-01
284610000,2,2016-01-01
382490870,3,2016-01-01
382490960,84,2016-01-01
851490000,21,2016-01-01
853221000,15,2016-01-01
853224000,16,2016-01-01
853290000,7,2016-01-01
400942000,39,2016-01-01
401610000,71,2016-01-01
401693000,283,2016-01-01
731029900,24,2016-01-01
731815100,59,2016-01-01
731816100,30,2016-01-01
732392000,3,2016-01-01
840991000,87,2016-01-01
841451000,13,2016-01-01
848180630,33,2016-01-01
852990970,53,2016-01-01
854449200,37,2016-01-01
511111000,18,2016-01-01
511119000,24,2016-01-01
511290910,6,2016-01-01
511290980,2,2016-01-01
551299900,3,2016-01-01
580110000,12,2016-01-01
591190100,6,2016-01-01
591190900,35,2016-01-01
630120100,9,2016-01-01
950420000,28,2016-01-01
950699900,79,2016-01-01
853120950,16,2016-01-01
903190850,136,2016-01-01
392010250,16,2016-01-01
320411000,19,2016-01-01
870840200,15,2016-01-01
940320800,105,2016-01-01
340399000,68,2016-01-01
841581000,14,2016-01-01
841590000,67,2016-01-01
841869000,28,2016-01-01
841899900,38,2016-01-01
847690000,13,2016-01-01
848110050,180,2016-01-01
